id,occurred_at 11,occurred_time 11,location_text 11,weather 1,light_condition 1,accident_type 1,dead_count 11,injured_count 11,vehicle_1_type 1,vehicle_1_detail 1,vehicle_2_type 1,longitude11,latitude11
12,2022-04-07 00:00:00+00,07:55:00,屏東縣內埔鄉南寧路108號前,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.563853,22.618565
13,2022-05-01 00:00:00+00,12:23:21,屏東縣內埔鄉南寧路與利寧路口,晴,日間自然光線,車與車,0,2,小客車,自用,汽車,120.564077,22.618415
14,2022-05-03 00:00:00+00,11:58:00,屏東縣內埔鄉南寧路137號前0.0公尺,晴,日間自然光線,人與汽(機)車,0,2,人,行人,其他,120.563127,22.618941
15,2022-05-22 00:00:00+00,16:17:00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉民善路,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.558479,22.62199
16,2022-05-25 00:00:00+00,13:48:00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉東寧村民善路附近,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.558515,22.621996
17,2022-06-14 00:00:00+00,18:23:47,屏東縣內埔鄉屏光路南寧路,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.556547,22.62284
18,2022-07-03 00:00:00+00,15:46:01,屏東縣內埔鄉南寧路利寧路,晴,日間自然光線,車與車,0,2,機車,大型重型1(550C.C.以上),機車,120.564066,22.618424
19,2022-07-08 00:00:00+00,08:50:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉平昌街,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.564612,22.618068
20,2022-07-10 00:00:00+00,17:28:00,屏東縣內埔鄉東寧村南寧路228號前0.0公尺,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.561214,22.620248
21,2022-07-13 00:00:00+00,20:10:01,屏東縣內埔鄉屏光路與南寧路口,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.558854,22.612406
22,2022-07-16 00:00:00+00,18:26:00,屏東縣內埔鄉南寧路191號前,晴,日間自然光線,車與車,0,1,慢車,腳踏自行車,其他,120.562035,22.619575
23,2022-07-30 00:00:00+00,07:51:00,屏東縣內埔鄉內埔鄉南寧路71號前,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.564518,22.617871
24,2022-07-31 00:00:00+00,16:04:00,屏東縣內埔鄉南寧路23號前,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.565568,22.617248
25,2022-07-28 00:00:00+00,22:45:00,屏東縣內埔鄉東寧村南寧路31號附近,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.565478,22.617517
26,2022-08-13 00:00:00+00,09:37:07,屏東縣內埔鄉南寧路與東寧路口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.559679,22.621203
27,2022-09-02 00:00:00+00,07:32:00,屏東縣內埔鄉勝利路口 / 屏東縣內埔鄉南寧路,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.559745,22.621167
